title,faculty,institute,term,ects,url,exam,re_exam
Advanced Game Theory,Det Samfundsvidenskabelige Fakultet,Økonomisk Institut,s21,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/A%C3%98KK08408E/Summer-2021,"[{'grade': '12', 'count': 2}, {'grade': '10', 'count': 3}, {'grade': '7', 'count': 6}, {'grade': '4', 'count': 3}, {'grade': '02', 'count': 6}, {'grade': '00', 'count': 4}, {'grade': '-3', 'count': 3}, {'grade': 'Absent', 'count': 7}, {'grade': 'Failed', 'count': 2}]","[{'grade': '12', 'count': 1}, {'grade': '10', 'count': 3}, {'grade': '7', 'count': 2}, {'grade': '4', 'count': 5}, {'grade': '02', 'count': 2}, {'grade': '00', 'count': 2}, {'grade': '-3', 'count': 0}]"
Advanced Geoinformatics,Det Natur- og Biovidenskabelige Fakultet,Institut for Geovidenskab og Naturforvaltning,v20/B2,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NIGK15001E/Winter-2020/B2,"[{'grade': '12', 'count': 4}, {'grade': '10', 'count': 8}, {'grade': '7', 'count': 7}, {'grade': '4', 'count': 1}, {'grade': '02', 'count': 0}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 0}]",
Advanced Geoinformatics,Det Natur- og Biovidenskabelige Fakultet,Institut for Geovidenskab og Naturforvaltning,v24/B2,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NIGK15001E/Winter-2024/B2,"[{'grade': '12', 'count': 5}, {'grade': '10', 'count': 10}, {'grade': '7', 'count': 7}, {'grade': '4', 'count': 2}, {'grade': '02', 'count': 0}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 0}]",
Advanced Geoinformatics,Det Natur- og Biovidenskabelige Fakultet,Institut for Geovidenskab og Naturforvaltning,v21/B2,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NIGK15001E/Winter-2021/B2,"[{'grade': '12', 'count': 14}, {'grade': '10', 'count': 3}, {'grade': '7', 'count': 5}, {'grade': '4', 'count': 1}, {'grade': '02', 'count': 0}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 0}]",
Advanced Health Economics with STATA,Det Sundhedsvidenskabelige Fakultet,Folkesundhedsvidenskab,v22,10,http://karakterstatistik.stads.ku.dk/Histogram/SFOK18006E/Winter-2022,"[{'grade': '12', 'count': 1}, {'grade': '10', 'count': 2}, {'grade': '7', 'count': 3}, {'grade': '4', 'count': 1}, {'grade': '02', 'count': 0}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 0}]",
Advanced Industrial Organization,Det Samfundsvidenskabelige Fakultet,Økonomisk Institut,v24,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/A%C3%98KA08128E/Winter-2024,"[{'grade': '12', 'count': 5}, {'grade': '10', 'count': 2}, {'grade': '7', 'count': 6}, {'grade': '4', 'count': 0}, {'grade': '02', 'count': 0}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 0}, {'grade': 'Ej bedømt', 'count': 2}]",
Advanced Industrial Organization,Det Samfundsvidenskabelige Fakultet,Økonomisk Institut,s21,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/A%C3%98KA08128E/Summer-2021,,
Advanced Inorganic Chemistry,Det Natur- og Biovidenskabelige Fakultet,Kemisk Institut,v23/B1,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NKEB13013E/Winter-2023/B1,"[{'grade': '12', 'count': 6}, {'grade': '10', 'count': 1}, {'grade': '7', 'count': 1}, {'grade': '4', 'count': 1}, {'grade': '02', 'count': 2}, {'grade': '00', 'count': 0}, {'grade': '-3', 'count': 0}, {'grade': 'Absent', 'count': 6}]",
Advanced Inorganic Chemistry,Det Natur- og Biovidenskabelige Fakultet,Kemisk Institut,s23/B3,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NKEB13013E/Summer-2023/B3,"[{'grade': '12', 'count': 5}, {'grade': '10', 'count': 2}, {'grade': '7', 'count': 1}, {'grade': '4', 'count': 2}, {'grade': '02', 'count': 2}, {'grade': '00', 'count': 1}, {'grade': '-3', 'count': 0}, {'grade': 'Absent', 'count': 3}]",
Advanced Inorganic Chemistry,Det Natur- og Biovidenskabelige Fakultet,Kemisk Institut,s22/B3,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/NKEB13013E/Summer-2022/B3,"[{'grade': '12', 'count': 9}, {'grade': '10', 'count': 4}, {'grade': '7', 'count': 3}, {'grade': '4', 'count': 1}, {'grade': '02', 'count': 0}, {'grade': '00', 'count': 1}, {'grade': '-3', 'count': 1}, {'grade': 'Absent', 'count': 1}]",
Advanced Industrial Organization,Det Samfundsvidenskabelige Fakultet,Økonomisk Institut,v20,"7,5",http://karakterstatistik.stads.ku.dk/Histogram/A%C3%98KA08128E/Winter-2020,,
